Steel,Carbon,Manganese,Silicon,Chromium,Nickel,Molybdenum,Phosphorus,Nitrogen,Sulphur,Niobium,Aluminium,Titanium,Copper,Vanadium,Tungsten,Type
201,0.15,6.5,1,17,4.5,0,0.06,0.25,0.03,0,0,0,0,0,0,A
202,0.15,8.75,1,18,5,0,0.06,0.25,0.03,0,0,0,0,0,0,A
301,0.15,2,1,17,7,0,0.045,0,0.03,0,0,0,0,0,0,A
302,0.15,2,1,18,9,0,0.045,0.1,0.03,0,0,0,0,0,0,A
302B,0.15,2,2.5,18,9,0,0.045,0,0.03,0,0,0,0,0,0,A
303,0.15,2,1,18,9,0.6,0.2,0,0.15,0,0,0,0,0,0,A
304,0.08,2,1,19,9.25,0,0.045,0,0.03,0,0,0,0,0,0,A
305,0.12,2,1,18,11.75,0,0.045,0,0.03,0,0,0,0,0,0,A
308,0.08,2,1,20,11,0,0.045,0,0.03,0,0,0,0,0,0,A
309,0.2,2,1,23,13.5,0,0.045,0,0.03,0,0,0,0,0,0,A
310,0.25,2,1.5,25,20.5,0,0.045,0,0.03,0,0,0,0,0,0,A
314,0.25,2,2.25,24.5,20.5,0,0.045,0,0.03,0,0,0,0,0,0,A
316,0.08,2,1,17,12,2.5,0.045,0.1,0.03,0,0,0,0,0,0,A
317,0.08,2,1,19,13,3.5,0.045,0,0.03,0,0,0,0,0,0,A
321,0.08,2,1,18,10.5,0,0.045,0.1,0.03,0,0,0.4,0,0,0,A
329,0.1,2,1,27.5,4.5,1.5,0.045,0,0.03,0,0,0,0,0,0,A
347,0.08,2,1,18,11,0,0.045,0,0.03,0,0,0,0,0,0,A
348,0.08,2,1,18,11,0,0.045,0,0.03,0,0,0,0.2,0,0,A
403,0.15,1,0.5,12.25,0,0,0.04,0,0.03,0,0,0,0,0,0,M
405,0.08,1,1,13,0,0,0.04,0,0.03,0,0.2,0,0,0,0,F
409,0.08,1,1,11.13,0.5,0,0.045,0,0.045,0,0,0.75,0,0,0,F
410,0.15,1,1,12.5,0,0,0.04,0,0.03,0,0,0,0,0,0,M
414,0.15,1,1,12.5,2.25,0,0.04,0,0.03,0,0,0,0,0,0,M
416,0.15,1.25,1,13,0,0.6,0.06,0,0.15,0,0,0,0,0,0,M
420,0.15,1,1,13,0,0,0.04,0,0.03,0,0,0,0,0,0,M
422,0.23,0.75,0.5,12,0.75,1.12,0.025,0,0.025,0,0,0,0,0.25,1.75,M
430,0.12,1,1,17,0,0,0.04,0,0.03,0,0,0,0,0,0,F
431,0.2,1,1,16,1.88,0,0.04,0,0.03,0,0,0,0,0,0,M
439,0.07,1,0,18,0.5,0,0.04,0,0.03,0,0.15,0,0,0,0,F
440A,0.68,1,1,17,0,0.75,0.04,0,0.03,0,0,0,0,0,0,M
440B,0.85,1,1,17,0,0.75,0.04,0,0.03,0,0,0,0,0,0,M
440C,1.08,1,1,17,0,0.75,0.04,0,0.03,0,0,0,0,0,0,M
15-5,0.07,1,1,14.75,4.5,0,0.04,0,0.03,0.3,0,0,3.5,0,0,P
17-4,0.07,1,1,16.5,4,0,0.04,0,0.03,0.3,0,0,4,0,0,P
17-7,0.09,1,1,17,7.13,0,0.04,0,0.03,0,1.13,0,0,0,0,P
17-10,0.07,0.75,0.5,17,10.5,0,0.28,0,0.03,0,0,0,0,0,0,P
AM-355,0.13,0.88,0.5,15.5,4.5,2.88,0.04,0.1,0.03,0,0,0,0,0,0,P
450,0.05,1,1,15,6,0.75,0.03,0,0.03,0,0,0,1.5,0,0,P
AM-350,0.09,0.88,0.5,16.5,4.5,2.88,0.04,0.1,0.03,0,0,0,0,0,0,P
455,0.05,0.5,0.5,11.75,8.5,0.5,0.04,0,0.03,0.3,0,1.1,2,0,0,P
13-8 Mo,0.05,0.1,0.1,12.75,8,2.25,0.01,0.01,0.008,0,1.13,0,0,0,0,P
205,0.123,14.75,1,17.25,1.38,0,0.06,0.36,0.03,0,0,0,0,0,0,A
216,0.08,8.25,1,19.75,6,2.5,0.045,0.38,0.03,0,0,0,0,0,0,A
312,0.15,2,1,30,9,0,0.045,0,0.03,0,0,0,0,0,0,A
330,0.08,2,1.13,19.5,35.5,0,0.04,0,0.03,0,0,0,0,0,0,A
332,0.04,1,0.5,21.5,32,0,0.045,0,0.3,0,0,0,0,0,0,A
384,0.08,2,1,16,18,0,0.045,0,0.03,0,0,0,0,0,0,A
385,0.08,2,1,12.5,15,0,0.045,0,0.03,0,0,0,0,0,0,A
404,0.05,1,0.5,11.88,1.63,0,0.03,0,0.03,0,0,0,0,0,0,F
429,0.12,1,1,15,0,0,0.04,0,0.03,0,0,0,0,0,0,F
434,0.12,1,1,17,0,1,0.04,0,0.03,0,0,0,0,0,0,F
436,0.12,1,1,17,0,1,0.04,0,0.03,0.6,0,0,0,0,0,F
442,0.2,1,1,20.5,0,0,0.04,0,0.03,0,0,0,0,0,0,F
444,0.03,1,1,18.5,1,2.13,0.04,0.035,0.03,0.44,0,0,0,0,0,F
446,0.2,1.5,1,25,0,0,0.04,0.25,0.03,0,0,0,0,0,0,F
418,0.18,0.25,0.25,13,2,0.25,0.04,0,0.03,0,0,0,0,0,3,M
501,0.1,1,1,5,0,0.53,0.04,0,0.03,0,0,0,0,0,0,M
503,0.15,1,1,7,0,0.55,0.04,0,0.04,0,0,0,0,0,0,M
504,0.15,1,1,9,0,1,0.04,0,0.04,0,0,0,0,0,0,M
501A,0.15,0.45,0.75,7,0,0,0.03,0,0.03,0,0,0,0,0,0,M
501B,0.15,0.45,0.75,9,0,1,0.03,0,0.03,0,0,0,0,0,0,M
416P_X,0.15,2,1,13,0,0.6,0.06,0,0.15,0,0,0,0,0,0,M
